transaction_id,date,account,description,info,amount_orig,class,category,sub_category,rule_id,source_file,record_type,share,amount,owner,split,transaction_row_id,not_unique_id
20230930__nordnet_salkkuraportti__arborrealtytrust__salkku1__861475__actual__nordnet_salkkuraportti_preprocessedcsv,2023-09-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8614.75,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8614.75,mkk,False,20230930__nordnet_salkkuraportti__arborrealtytrust__salkku1__861475__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20240228__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-02-28,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8239.58,mkk,False,20240228__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20231130__nordnet_salkkuraportti__arborrealtytrust__salkku1__687918__actual__nordnet_salkkuraportti_preprocessedcsv,2023-11-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6879.18,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,6879.18,mkk,False,20231130__nordnet_salkkuraportti__arborrealtytrust__salkku1__687918__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20241130__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-11-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8239.58,mkk,False,20241130__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20230430__nordnet_salkkuraportti__arborrealtytrust__salkku1__624523__actual__nordnet_salkkuraportti_preprocessedcsv,2023-04-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6245.23,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,6245.23,mkk,False,20230430__nordnet_salkkuraportti__arborrealtytrust__salkku1__624523__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20230630__nordnet_salkkuraportti__arborrealtytrust__salkku1__814725__actual__nordnet_salkkuraportti_preprocessedcsv,2023-06-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8147.25,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8147.25,mkk,False,20230630__nordnet_salkkuraportti__arborrealtytrust__salkku1__814725__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20240630__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-06-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8239.58,mkk,False,20240630__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20240930__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-09-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8239.58,mkk,False,20240930__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20230131__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2023-01-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8239.58,mkk,False,20230131__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
20240131__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-01-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,varat,sijoitusvarallisuus,osinkosalkku,10,nordnet_salkkuraportti_preprocessed.csv,Actual,1.0,8239.58,mkk,False,20240131__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv__mkk,"just a dummy value for migration, will be created for future runs"
