date,account,description,info,amount,record_type,source_file,transaction_id
2023-12-01,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20231201__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-12-02,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20231202__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-11-01,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20231101__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-11-02,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20231102__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-10-02,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20231002__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-10-03,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20231003__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-09-02,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230902__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-09-03,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230903__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-08-03,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230803__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-08-04,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230804__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
