date,account,description,info,amount,row_type,source_file
2023-12-01,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-12-02,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-11-01,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-11-02,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-10-02,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-10-03,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-09-02,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-09-03,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-08-03,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-08-04,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-07-04,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-07-05,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-06-04,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-06-05,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-05-05,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-05-06,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-04-05,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-04-06,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-03-06,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-03-07,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-02-04,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-02-05,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-01-05,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx
2023-01-06,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx
2023-01-31,menot,käteisellä lapaset,,-500.0,Actual,menot.csv
2023-02-28,menot,muuta,,-201.0,Actual,menot.csv
2024-02-28,menot,maksoin yrityksen kuluja käteisellä,,-50.0,Actual,menot.csv
2024-01-24,nordea,S-MARKET,XXXXX,-22.04,Actual,nordea.csv
2023-02-27,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8552.46,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-02-27,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17372.94,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-02-27,nordnet_salkkuraportti,CubeSmart,Salkku 1,7034.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-02-27,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-02-27,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18489.97,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-02-28,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-02-28,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-02-28,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-11-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6879.18,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-11-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,27330.59,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-11-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,11323.45,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-11-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-11-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-11-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-04-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6245.23,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-04-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,15858.1,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-04-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6604.95,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-04-30,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-04-30,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18504.26,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-06-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8147.25,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-06-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,16046.62,Actual,nordnet_salkkuraportti_preprocessed.csv
