transaction_id,date,account,description,info,amount_orig,class,category,sub_category,rule_id,source_file,record_type,share,amount,owner,split,transaction_row_id
Säästötavoite 1_202301_mkk,2023-01-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202301_mkk
Säästötavoite 1_202302_mkk,2023-02-28,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202302_mkk
Säästötavoite 1_202303_mkk,2023-03-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202303_mkk
Säästötavoite 1_202304_mkk,2023-04-30,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202304_mkk
Säästötavoite 1_202305_mkk,2023-05-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202305_mkk
Säästötavoite 1_202306_mkk,2023-06-30,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202306_mkk
Säästötavoite 1_202307_mkk,2023-07-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202307_mkk
Säästötavoite 1_202308_mkk,2023-08-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202308_mkk
Säästötavoite 1_202309_mkk,2023-09-30,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202309_mkk
Säästötavoite 1_202310_mkk,2023-10-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202310_mkk
Säästötavoite 1_202311_mkk,2023-11-30,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202311_mkk
Säästötavoite 1_202312_mkk,2023-12-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202312_mkk
Säästötavoite 1_202401_mkk,2024-01-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202401_mkk
Säästötavoite 1_202402_mkk,2024-02-29,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202402_mkk
Säästötavoite 1_202403_mkk,2024-03-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202403_mkk
Säästötavoite 1_202404_mkk,2024-04-30,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202404_mkk
Säästötavoite 1_202405_mkk,2024-05-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202405_mkk
Säästötavoite 1_202406_mkk,2024-06-30,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202406_mkk
Säästötavoite 1_202407_mkk,2024-07-31,Target,Säästötavoite 1,,1000,tulot,,,Säästötavoite 1,targets.csv,Target,1,1000,mkk,False,Säästötavoite 1_202407_mkk
