transaction_row_id,date_current,description_current,info_current,amount_current,rule_id_current,owner_current,class_current,category_current,sub_category_current,change_description,change_reason
Säästötavoite 1_202301_mkk_1000,2023-01-31,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202302_mkk_1000,2023-02-28,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202303_mkk_1000,2023-03-31,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202304_mkk_1000,2023-04-30,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202305_mkk_1000,2023-05-31,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202306_mkk_1000,2023-06-30,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202307_mkk_1000,2023-07-31,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202308_mkk_1000,2023-08-31,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202309_mkk_1000,2023-09-30,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
Säästötavoite 1_202310_mkk_1000,2023-10-31,Säästötavoite 1,,1000,Säästötavoite 1,mkk,tulot,,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
