not_unique_id,date_current,description_current,info_current,amount_current,rule_id_current,owner_current,class_current,category_current,sub_category_current,change_description,change_reason
20230930__nordnet_salkkuraportti__arbor realty trust__salkku 1__8614.75__actual__mkk,2023-09-30,Arbor Realty Trust,Salkku 1,8614.75,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240228__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-02-28,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231130__nordnet_salkkuraportti__arbor realty trust__salkku 1__6879.18__actual__mkk,2023-11-30,Arbor Realty Trust,Salkku 1,6879.18,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241130__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-11-30,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230430__nordnet_salkkuraportti__arbor realty trust__salkku 1__6245.23__actual__mkk,2023-04-30,Arbor Realty Trust,Salkku 1,6245.23,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230630__nordnet_salkkuraportti__arbor realty trust__salkku 1__8147.25__actual__mkk,2023-06-30,Arbor Realty Trust,Salkku 1,8147.25,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240630__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-06-30,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240930__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-09-30,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230131__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2023-01-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240131__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-01-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231031__nordnet_salkkuraportti__arbor realty trust__salkku 1__7155.15__actual__mkk,2023-10-31,Arbor Realty Trust,Salkku 1,7155.15,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230227__nordnet_salkkuraportti__arbor realty trust__salkku 1__8552.46__actual__mkk,2023-02-27,Arbor Realty Trust,Salkku 1,8552.46,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241031__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-10-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241231__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-12-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230331__nordnet_salkkuraportti__arbor realty trust__salkku 1__6355.66__actual__mkk,2023-03-31,Arbor Realty Trust,Salkku 1,6355.66,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240331__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-03-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230531__nordnet_salkkuraportti__arbor realty trust__salkku 1__7080.47__actual__mkk,2023-05-31,Arbor Realty Trust,Salkku 1,7080.47,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240531__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-05-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230731__nordnet_salkkuraportti__arbor realty trust__salkku 1__9227.57__actual__mkk,2023-07-31,Arbor Realty Trust,Salkku 1,9227.57,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240731__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-07-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230831__nordnet_salkkuraportti__arbor realty trust__salkku 1__8830.95__actual__mkk,2023-08-31,Arbor Realty Trust,Salkku 1,8830.95,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240831__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,2024-08-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
__nordnet_salkkuraportti__arbor realty trust__salkku 1__8239.58__actual__mkk,,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231231__nordnet_salkkuraportti__arbor realty trust__salkku 1__8249.99__actual__mkk,2023-12-31,Arbor Realty Trust,Salkku 1,8249.99,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230303__penno__asuminen__sähkö__-16.9__actual__mkk,2023-03-03,Asuminen,Sähkö,-16.9,18,mkk,menot,asuminen,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230301__penno__asuminen__vastike__-165.9__actual__mkk,2023-03-01,Asuminen,Vastike,-165.9,18,mkk,menot,asuminen,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230301__penno__asuminen__korko__-73.77__actual__mkk,2023-03-01,Asuminen,Korko,-73.77,18,mkk,menot,asuminen,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230131__varat__asunto____100000.0__actual__mkk,2023-01-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240430__varat__asunto____100000.0__actual__mkk,2024-04-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
