transaction_row_id,class_current,class_new,category_current,category_new,sub_category_current,sub_category_new
e6b87237c8dc3dd42529a1cb78c2befd2229a06437f4811a38b2a7b5b7424435,menot,menot,media,media,muutos,suoratoisto
4d253e424200a8e374b4b43d3aa3f7f67c2be99f4cee8f3ba37ac9afaeef2a14,menot,menot,media,media,muutos,suoratoisto
01b9f5b63493bd095772bff6a2445826cabaf90c8cb229c7daa730becd657dd3,menot,menot,media,media,muutos,suoratoisto
ba2533c8fd17f98df7096ca811a8290782073bd904f05640d909cd7adf585b2c,menot,menot,media,media,muutos,suoratoisto
32bfcc6029d741c56f3e9650dccc7d18dbbf4d99fa23832ea2e830d4f6dc6ab0,menot,menot,media,media,muutos,suoratoisto
43f536c81d48f5bd616c225c4c31e03e89d1dd412f8ea6d5e3d813b3b2983c6c,menot,menot,media,media,muutos,suoratoisto
a3fb8469c1ee7398a6f46346f329aef43d1153871f10514918958be0704eaed8,menot,menot,media,media,muutos,suoratoisto
c6f427ffdc1ce3ffdf99ccd66e623a33c7aadc71706e83b96a5ec9cdfb3ee8ff,menot,menot,media,media,muutos,suoratoisto
256be523047c6ff1965a1c5dc762b6fd62942f2c37275549d49bcd42f1baf417,menot,menot,media,media,muutos,suoratoisto
0840f8d74ff11324ccc8b1993a7a9ac9010c60d82174324c64ba8867f54c6b92,menot,menot,media,media,muutos,suoratoisto
74b228a5c2d47f948bdeededb6191e6e1e95690fee27e9e99ab8a66f3845592d,menot,menot,media,media,muutos,suoratoisto
2b9b6fce2d8d04633ce9b03077d3540609670c3dbb8a2c3aeba48b5559ee3bf9,menot,menot,media,media,muutos,suoratoisto
