transaction,account,label,date
Omistukset,,,
AOT,,,
Salkku 1,Salkku 1,,
31.1.2023,Salkku 1,,31.1.2023
Osakkeet ja pörssilistatut arvopaperit,Salkku 1,,31.1.2023
Markk.hinta,Salkku 1,,31.1.2023
Hank.hinta,Salkku 1,,31.1.2023
Määrä,Salkku 1,,31.1.2023
Markkina-arvo EUR,Salkku 1,,31.1.2023
Toteutum.tulos,Salkku 1,,31.1.2023
Osuus,Salkku 1,,31.1.2023
Arbor Realty Trust,Salkku 1,stock,31.1.2023
"14,93 USD",Salkku 1,price,31.1.2023
"16,22",Salkku 1,purchase_price,31.1.2023
600,Salkku 1,qty,31.1.2023
"8 239,58",Salkku 1,market_value,31.1.2023
"−40,32",Salkku 1,change,31.1.2023
"1,98%",Salkku 1,share,31.1.2023
Bank Of Nova Scotia,Salkku 1,stock,31.1.2023
"72,03 CAD",Salkku 1,price,31.1.2023
"55,94",Salkku 1,purchase_price,31.1.2023
350,Salkku 1,qty,31.1.2023
"17 428,91",Salkku 1,market_value,31.1.2023
"+4 801,30",Salkku 1,change,31.1.2023
"4,19%",Salkku 1,share,31.1.2023
CubeSmart,Salkku 1,stock,31.1.2023
"45,79 USD",Salkku 1,price,31.1.2023
"31,97",Salkku 1,purchase_price,31.1.2023
160,Salkku 1,qty,31.1.2023
"6 738,83",Salkku 1,market_value,31.1.2023
"+2 372,59",Salkku 1,change,31.1.2023
"1,62%",Salkku 1,share,31.1.2023
AOT,Salkku 1,,31.1.2023
Salkku 3,Salkku 3,,31.1.2023
31.1.2023,Salkku 3,,31.1.2023
Osakkeet ja pörssilistatut arvopaperit,Salkku 3,,31.1.2023
Markk.hinta,Salkku 3,,31.1.2023
Hank.hinta,Salkku 3,,31.1.2023
Määrä,Salkku 3,,31.1.2023
Markkina-arvo EUR,Salkku 3,,31.1.2023
Toteutum.tulos,Salkku 3,,31.1.2023
Osuus,Salkku 3,,31.1.2023
iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,stock,31.1.2023
"71,82 EUR",Salkku 3,price,31.1.2023
"72,46",Salkku 3,purchase_price,31.1.2023
255,Salkku 3,qty,31.1.2023
"18 313,61",Salkku 3,market_value,31.1.2023
"−164,81",Salkku 3,change,31.1.2023
"91,54%",Salkku 3,share,31.1.2023
Rahastot,Salkku 3,,31.1.2023
Markk.hinta,Salkku 3,,31.1.2023
Hank.hinta,Salkku 3,,31.1.2023
Määrä,Salkku 3,,31.1.2023
Markkina-arvo EUR,Salkku 3,,31.1.2023
Toteutum.tulos,Salkku 3,,31.1.2023
Osuus,Salkku 3,,31.1.2023
Muut sijoitukset,Salkku 3,,31.1.2023
Saldo,Salkku 3,,31.1.2023
Osuus,Salkku 3,,31.1.2023
Likvidit varat,Salkku 3,stock,31.1.2023
"1 692,41",Salkku 3,market_value,31.1.2023
"8,46%",Salkku 3,share,31.1.2023
Yhteensä,Salkku 3,,31.1.2023
